control : 90.01638636899102 , a_p : 0.0 0.0
control : 90.00466411983 , a_p : 0.0 0.0
control : 90.00981310137233 , a_p : 0.0 0.0
control : 90.01495532916888 , a_p : 0.0 0.0
control : 90.0122656716989 , a_p : 0.0 0.0
control : 90.0010962335238 , a_p : 0.0 0.0
control : 90.01152793152407 , a_p : 0.0 0.0
control : 90.00491910509862 , a_p : 0.0 0.0
control : 90.00630018770646 , a_p : 0.0 0.0
control : 90.0122178836997 , a_p : 0.0 0.0
control : 90.01436093866185 , a_p : 0.0 0.0
control : 90.01194166094028 , a_p : 0.0 0.0
control : 90.00943964788502 , a_p : 0.0 0.0
control : 90.01240134568305 , a_p : 0.0 0.0
control : 90.00897422619502 , a_p : 0.0 0.0
control : 90.01466841641385 , a_p : 0.0 0.0
control : 90.00915304993147 , a_p : 0.0 0.0
control : 90.01411614025321 , a_p : 0.0 0.0
control : 90.00871379155798 , a_p : 0.0 0.0
control : 90.01275771697337 , a_p : 0.0 0.0
control : 89.86073209198818 , a_p : 0.0 0.0
control : 69.94095366001743 , a_p : 0.0 0.0
control : 74.49314041332876 , a_p : 5.713283098884858e-05 5.713283098884858e-05
control : 74.10294805873475 , a_p : 3.849938002531417e-05 3.849938002531417e-05
control : 74.31619964116807 , a_p : 2.7193549613002688e-05 2.7193549613002688e-05
control : 79.21881176313191 , a_p : 1.5133025044633541e-05 1.5133025044633541e-05
control : 75.595780951167 , a_p : 5.342343229131075e-06 5.342343229131075e-06
control : 77.89906899643219 , a_p : -2.885978346967022e-06 -2.885978346967022e-06
control : 74.00330801664786 , a_p : -8.513247848895844e-06 -8.513247848895844e-06
control : 74.36399093425 , a_p : -1.4732336239831056e-05 -1.4732336239831056e-05
control : 75.92727405938237 , a_p : -1.2737326869682875e-05 -1.2737326869682875e-05
control : 73.08319949444173 , a_p : -1.703830639598891e-05 -1.703830639598891e-05
control : 73.06666832825749 , a_p : -1.5735140550532378e-05 -1.5735140550532378e-05
control : 73.38031311149928 , a_p : -1.6501960999448784e-05 -1.6501960999448784e-05
control : 71.47808592309542 , a_p : -1.3606531865661964e-05 -1.3606531865661964e-05
control : 72.95782730081288 , a_p : -1.2786962543032132e-05 -1.2786962543032132e-05
control : 70.37319642035898 , a_p : -2.8741997084580362e-05 -2.8741997084580362e-05
control : 70.9613337262872 , a_p : -4.654015356209129e-06 -4.654015356209129e-06
control : 67.50448662952216 , a_p : -2.4834691885189386e-06 -2.4834691885189386e-06
control : 68.84289170386333 , a_p : -1.0338789024899597e-06 -1.0338789024899597e-06
control : 65.45346328975069 , a_p : -1.1697337640725891e-06 -1.1697337640725891e-06
control : 63.39275224753651 , a_p : -7.726030730736966e-07 -7.726030730736966e-07
control : 65.18960834453829 , a_p : -5.102593831907143e-07 -5.102593831907143e-07
control : 63.159244131731654 , a_p : 1.8777951709125773e-06 1.8777951709125773e-06
control : 64.5530295448414 , a_p : 3.1624720096588135 3.1624720096588135
control : 60.921122946932584 , a_p : -0.36476799845695496 -0.36476799845695496
control : 60.90040403529134 , a_p : 0.3037261664867401 0.3037261664867401
control : 56.709024554142786 , a_p : -0.3501076400279999 -0.3501076400279999
control : 58.816736739521254 , a_p : 0.3162069618701935 0.3162069618701935
control : 54.81433686594785 , a_p : -0.0489560030400753 -0.0489560030400753
control : 54.46631713173133 , a_p : 0.3205760717391968 0.3205760717391968
control : 52.798440326031916 , a_p : -0.33870238065719604 -0.33870238065719604
control : 53.11567632543491 , a_p : 0.34620150923728943 0.34620150923728943
control : 50.701432526355084 , a_p : -0.3115292191505432 -0.3115292191505432
control : 51.60760975925734 , a_p : 1.6667269468307495 1.6667269468307495
control : 53.30464011712656 , a_p : 5.027139186859131 5.027139186859131
control : 56.17396256174226 , a_p : 8.586836814880371 8.586836814880371
control : 54.376192223143924 , a_p : 6.7938337326049805 6.7938337326049805
control : 53.58053706008421 , a_p : 6.268054008483887 6.268054008483887
control : 51.17729175396711 , a_p : 4.086550712585449 4.086550712585449
control : 46.40851431113054 , a_p : -0.30473801493644714 -0.30473801493644714
control : 48.48743331881666 , a_p : 3.4069130420684814 3.4069130420684814
control : 49.32973810334555 , a_p : 5.202457427978516 5.202457427978516
control : 46.33113843066093 , a_p : 2.5930659770965576 2.5930659770965576
control : 48.71405404536882 , a_p : 6.215680122375488 6.215680122375488
control : 46.205508525783614 , a_p : 3.819338321685791 3.819338321685791
control : 47.81990651411385 , a_p : 6.539970397949219 6.539970397949219
control : 43.29150771723809 , a_p : 1.9914058446884155 1.9914058446884155
control : 42.63546630157826 , a_p : 2.159012794494629 2.159012794494629
control : 45.98714645057851 , a_p : 4.31239652633667 4.31239652633667
control : 55.844198845221605 , a_p : 2.372678756713867 2.372678756713867
control : 48.34316022690831 , a_p : 3.3117964267730713 3.3117964267730713
control : 57.502504979962524 , a_p : 6.872193813323975 6.872193813323975
control : 48.69900245380709 , a_p : 5.494635581970215 5.494635581970215
control : 54.637427115831365 , a_p : 4.551121234893799 4.551121234893799
control : 47.13682451687226 , a_p : 6.895110607147217 6.895110607147217
control : 53.96073177172454 , a_p : 4.924421310424805 4.924421310424805
control : 46.52346446195429 , a_p : 6.5975565910339355 6.5975565910339355
control : 52.30166088080219 , a_p : 8.208930015563965 8.208930015563965
control : 48.02832111821094 , a_p : 9.203838348388672 9.203838348388672
control : 53.44285447112864 , a_p : 8.17544937133789 8.17544937133789
control : 46.28692446855883 , a_p : 7.570541477203369 7.470541477203369
control : 49.67032871220441 , a_p : 7.170024585723878 6.970024585723877
control : 45.12456945943714 , a_p : 6.935001659393311 6.6350016593933105
control : 50.689980862604095 , a_p : 6.789585018157959 6.389585018157959
control : 40.90898371087984 , a_p : 6.702918529510498 6.202918529510498
control : 45.77650628614016 , a_p : 6.657740688323974 6.057740688323975
control : 42.88518924721847 , a_p : 5.433331203460694 4.733331203460693
control : 48.20746293203292 , a_p : 0.4715395152568824 -0.3284604847431183
control : 50.629756914705666 , a_p : 0.2662518262863163 -0.6337481737136841
control : 45.28692597219058 , a_p : 1.9429317712783813 0.9429317712783813
control : 56.192022138477974 , a_p : 9.392058944702148 8.292058944702148
control : 27.548256925292936 , a_p : 13.961966705322267 12.761966705322266
control : 18.27982040143058 , a_p : 12.680053520202637 11.380053520202637
control : 26.690745122348964 , a_p : 4.7984730243682865 3.398473024368286
control : 29.59382800034602 , a_p : 4.561113595962524 3.0611135959625244
control : 26.262367016643736 , a_p : 2.737213230133058 1.1372132301330566
control : 28.458076617108983 , a_p : 4.779214334487916 3.079214334487915
control : 29.23994943732051 , a_p : 5.476521062850953 3.676521062850952
control : 28.87712142416951 , a_p : 4.805559301376343 2.9055593013763428
control : 29.88460293862876 , a_p : 5.692105293273926 3.692105293273926
control : 31.538691673275856 , a_p : 5.963085746765138 3.8630857467651367
control : 32.73278543603787 , a_p : 7.824547004699708 5.624547004699707
control : 32.21069595058016 , a_p : 7.429074573516846 5.129074573516846
control : 31.776817801426944 , a_p : 6.13011589050293 3.7301158905029297
control : 34.480177161267676 , a_p : 10.323160171508789 7.823160171508789
control : 28.939664033029402 , a_p : 4.917540884017946 2.3175408840179443
control : 31.543757627855804 , a_p : -1.0000319957733144 -3.7000319957733154
control : 10.503133516338542 , a_p : 7.330861377716065 4.5308613777160645
control : 20.103544408730716 , a_p : -0.996576642990112 -3.8965766429901123
