control : 108.02072992456647 , a_p : 0.0 0.0
control : 107.99228912124482 , a_p : 0.0 0.0
control : 108.01737060150276 , a_p : 0.0 0.0
control : 108.0149979696444 , a_p : 0.0 0.0
control : 108.01586728938348 , a_p : 0.0 0.0
control : 108.02022542648612 , a_p : 0.0 0.0
control : 108.01282779568379 , a_p : 0.0 0.0
control : 108.00933557675651 , a_p : 0.0 0.0
control : 108.01322707075146 , a_p : 0.0 0.0
control : 108.01475434506094 , a_p : 0.0 0.0
control : 108.01030035863579 , a_p : 0.0 0.0
control : 108.01537330492437 , a_p : 0.0 0.0
control : 108.01760581611663 , a_p : 0.0 0.0
control : 108.0180251518116 , a_p : 0.0 0.0
control : 108.01866984316918 , a_p : 0.0 0.0
control : 108.01352707834792 , a_p : 0.0 0.0
control : 108.01756068830291 , a_p : 0.0 0.0
control : 108.01497455596092 , a_p : 0.0 0.0
control : 108.01904203169 , a_p : 0.0 0.0
control : 108.01920368491975 , a_p : 0.0 0.0
control : 89.0399644524717 , a_p : 0.0 0.0
control : 88.4546500541808 , a_p : 0.0 0.0
control : 88.70844874901123 , a_p : 0.00022356677800416946 0.00022356677800416946
control : 88.53889004559016 , a_p : 0.00015919808356557041 0.00015919808356557041
control : 91.19186426588595 , a_p : 0.00010691989882616326 0.00010691989882616326
control : 91.95889221920226 , a_p : 6.334574572974816e-05 6.334574572974816e-05
control : 90.03697168024092 , a_p : 1.6607971701887436e-05 1.6607971701887436e-05
control : 88.95020682562706 , a_p : -5.731586043111747e-06 -5.731586043111747e-06
control : 90.79699187163436 , a_p : -3.3651289413683116e-05 -3.3651289413683116e-05
control : 91.4556364888314 , a_p : -4.6893615945009515e-05 -4.6893615945009515e-05
control : 88.5853658715581 , a_p : -6.0174228565301746e-05 -6.0174228565301746e-05
control : 89.24592806779553 , a_p : -6.31063521723263e-05 -6.31063521723263e-05
control : 89.23652501322772 , a_p : -6.331450276775286e-05 -6.331450276775286e-05
control : 90.38203890376968 , a_p : -6.340816617012024e-05 -6.340816617012024e-05
control : 85.94598841823667 , a_p : -5.81079839321319e-05 -5.81079839321319e-05
control : 85.46182196981214 , a_p : -5.241831604507752e-05 -5.241831604507752e-05
control : 84.06133573250852 , a_p : -0.00012249560677446425 -0.00012249560677446425
control : 84.84420216018907 , a_p : -1.4092203855398111e-05 -1.4092203855398111e-05
control : 78.71503827275893 , a_p : -1.2622364920389373e-05 -1.2622364920389373e-05
